Doctor Name,Specialization,Location,Qualification,Ratings,Phone Number
Dr. Sita Tamang,Gynecologist,Biratnagar,MCh,4.5,-986127313
Dr. Maya Sharma,Gynecologist,Butwal,MDS,3.4,-988798310
Dr. Maya Gautam,Neurologist,Nepalgunj,PhD (Medical Science),3.5,-981193973
Dr. Manoj Gautam,Psychiatrist,Kathmandu,PhD (Medical Science),4.8,-987210413
Dr. Sarita Karki,Dermatologist,Nepalgunj,MBBS,3.3,-987692648
Dr. Krishna Tamang,Ophthalmologist,Pokhara,MCh,3.8,-985786082
Dr. Hari Adhikari,Cardiologist,Bharatpur,BDS,4.2,-988569162
Dr. Gita Pokharel,Cardiologist,Nepalgunj,MCh,4,-983652755
Dr. Bishnu Karki,Gynecologist,Lalitpur,MBBS,3.9,-983772450
Dr. Hari Adhikari,Dermatologist,Butwal,MS,4.4,-987186955
Dr. Maya Poudel,Dermatologist,Biratnagar,MBBS,4.7,-986474245
Dr. Krishna Karki,Pediatrician,Kathmandu,MS,4.2,-987712129
Dr. Sarita Bhandari,General Physician,Bharatpur,DM,4,-987864658
Dr. Maya Sharma,Dermatologist,Lalitpur,MCh,4.2,-984216244
Dr. Sita Gautam,General Physician,Pokhara,BDS,3.8,-981486004
Dr. Manoj Karki,Gynecologist,Lalitpur,BDS,4.6,-988269546
Dr. Hari Thapa,Orthopedic,Kathmandu,MDS,3.7,-981624920
Dr. Bishnu Tamang,Orthopedic,Kathmandu,DM,4,-984764959
Dr. Sita Lama,Psychiatrist,Dharan,DM,4.2,-987217741
Dr. Manoj Lama,Psychiatrist,Biratnagar,MS,4.8,-984805020
Dr. Shyam Poudel,Orthopedic,Kathmandu,PhD (Medical Science),4.3,-982580336
Dr. Gita Lama,Cardiologist,Lalitpur,MBBS,3.7,-981508513
Dr. Krishna Karki,Dermatologist,Dharan,DM,3.6,-987486755
Dr. Sita Bhandari,Cardiologist,Kathmandu,PhD (Medical Science),3.8,-988224486
Dr. Gita Sharma,Gynecologist,Birgunj,MD,3.4,-986756970
Dr. Sita Thapa,Dermatologist,Lalitpur,MD,4.6,-988350531
Dr. Gita Bhandari,Ophthalmologist,Biratnagar,DM,4.5,-982973961
Dr. Gita Karki,Psychiatrist,Kathmandu,MCh,4.4,-981900969
Dr. Shyam Pokharel,General Physician,Kathmandu,MBBS,4.2,-984266647
Dr. Sarita Adhikari,Gynecologist,Pokhara,BDS,4.8,-981623701
Dr. Maya Karki,Gynecologist,Lalitpur,MBBS,3.8,-989368237
Dr. Bishnu Karki,Psychiatrist,Pokhara,MD,4.3,-982355534
Dr. Krishna Adhikari,Gynecologist,Birgunj,MBBS,3.3,-984661826
Dr. Ram Adhikari,Cardiologist,Pokhara,MS,4.3,-987950270
Dr. Maya Sharma,Neurologist,Biratnagar,BDS,4.1,-988090723
Dr. Bishnu Sharma,Gynecologist,Birgunj,DM,3.7,-985791568
Dr. Manoj Pokharel,Cardiologist,Pokhara,MDS,3.4,-989437904
Dr. Sarita Gautam,General Physician,Dharan,PhD (Medical Science),3.3,-983641066
Dr. Krishna Lama,Dentist,Kathmandu,MS,3.6,-983262458
Dr. Sarita Lama,Cardiologist,Butwal,MCh,4.4,-989612920
Dr. Bishnu Gautam,Neurologist,Bharatpur,MS,3.7,-989341772
Dr. Gita Pokharel,Cardiologist,Hetauda,PhD (Medical Science),4.9,-988745211
Dr. Gita Sharma,Cardiologist,Nepalgunj,PhD (Medical Science),3.7,-983338505
Dr. Bishnu Sharma,Ophthalmologist,Nepalgunj,MCh,3.3,-987326099
Dr. Sita Pokharel,Gynecologist,Lalitpur,MD,3.6,-988984404
Dr. Ram Bhandari,Dermatologist,Dharan,MCh,4.6,-983430862
Dr. Sarita Karki,Neurologist,Bharatpur,MD,4.1,-989965210
Dr. Manoj Sharma,Dentist,Dharan,DM,3.7,-984478966
Dr. Sita Sharma,General Physician,Biratnagar,PhD (Medical Science),4.6,-987006944
Dr. Bishnu Adhikari,Dermatologist,Nepalgunj,DM,4.2,-988273923
Dr. Gita Karki,Dentist,Dharan,MCh,3.9,-982513650
Dr. Manoj Karki,Gynecologist,Pokhara,BDS,4.9,-984326691
Dr. Bishnu Gautam,Dentist,Nepalgunj,PhD (Medical Science),4.4,-981506414
Dr. Krishna Poudel,Dermatologist,Kathmandu,MD,4.4,-981102508
Dr. Gita Thapa,General Physician,Lalitpur,MBBS,4.9,-988482930
Dr. Ram Lama,Ophthalmologist,Pokhara,DM,3.2,-983516834
Dr. Maya Sharma,Cardiologist,Nepalgunj,BDS,4.5,-986080552
Dr. Hari Poudel,Psychiatrist,Lalitpur,DM,4.8,-982259463
Dr. Hari Bhandari,Dermatologist,Butwal,MD,4.8,-981603190
Dr. Gita Bhandari,Orthopedic,Hetauda,PhD (Medical Science),4,-988068768
Dr. Sita Thapa,Psychiatrist,Butwal,MD,3.6,-989546092
Dr. Hari Adhikari,Dermatologist,Biratnagar,MCh,3.3,-982769470
Dr. Bishnu Bhandari,General Physician,Hetauda,MD,4.1,-984062805
Dr. Shyam Thapa,Gynecologist,Kathmandu,MCh,4.7,-983544245
Dr. Ram Gautam,Orthopedic,Bharatpur,BDS,4,-982475440
Dr. Bishnu Pokharel,Dentist,Birgunj,MBBS,4,-985790567
Dr. Gita Sharma,Gynecologist,Hetauda,MCh,3.7,-982746604
Dr. Shyam Lama,Gynecologist,Butwal,MD,4.5,-981570634
Dr. Hari Thapa,Gynecologist,Kathmandu,MDS,4.2,-984681291
Dr. Gita Tamang,Cardiologist,Butwal,DM,3.5,-986180246
Dr. Ram Tamang,Pediatrician,Butwal,PhD (Medical Science),4,-984402922
Dr. Manoj Sharma,Orthopedic,Butwal,MD,4.2,-984129413
Dr. Ram Tamang,Gynecologist,Biratnagar,BDS,4.4,-984683426
Dr. Sita Karki,Orthopedic,Bharatpur,DM,4.8,-985264762
Dr. Bishnu Pokharel,Ophthalmologist,Biratnagar,MDS,4.6,-983988226
Dr. Hari Sharma,Pediatrician,Bharatpur,DM,4.9,-985395902
Dr. Bishnu Bhandari,Dentist,Butwal,PhD (Medical Science),3,-988219312
Dr. Krishna Sharma,Cardiologist,Butwal,PhD (Medical Science),4.7,-982380472
Dr. Bishnu Tamang,Pediatrician,Birgunj,PhD (Medical Science),3.9,-986274675
Dr. Shyam Poudel,Cardiologist,Biratnagar,MD,4.9,-984348461
Dr. Hari Pokharel,Cardiologist,Hetauda,DM,3.5,-986904648
Dr. Bishnu Adhikari,Orthopedic,Bharatpur,MD,3.8,-986843034
Dr. Krishna Bhandari,Dermatologist,Butwal,PhD (Medical Science),4.6,-986653780
Dr. Manoj Lama,Psychiatrist,Hetauda,BDS,4.5,-989613911
Dr. Bishnu Tamang,Dermatologist,Pokhara,BDS,4.9,-984794544
Dr. Maya Adhikari,Ophthalmologist,Biratnagar,MCh,3.2,-986700810
Dr. Ram Poudel,Dentist,Biratnagar,BDS,4.4,-982724091
Dr. Ram Gautam,Neurologist,Birgunj,MS,4.5,-981326701
Dr. Maya Adhikari,Ophthalmologist,Biratnagar,MD,3.5,-982800498
Dr. Krishna Poudel,Gynecologist,Lalitpur,MDS,3,-989495373
Dr. Manoj Pokharel,Cardiologist,Bharatpur,BDS,4.9,-986666972
Dr. Ram Adhikari,Neurologist,Pokhara,MBBS,3,-983272676
Dr. Ram Bhandari,Dentist,Biratnagar,DM,3.5,-981713807
Dr. Sarita Karki,Dermatologist,Nepalgunj,MDS,3.9,-983630652
Dr. Sita Tamang,Neurologist,Nepalgunj,MS,5,-982861853
Dr. Bishnu Thapa,Cardiologist,Nepalgunj,MS,3.1,-982172476
Dr. Ram Lama,General Physician,Kathmandu,MS,4.6,-981929382
Dr. Shyam Thapa,Psychiatrist,Lalitpur,MBBS,4.7,-982918952
Dr. Maya Thapa,Dentist,Pokhara,PhD (Medical Science),3.5,-982734726
Dr. Krishna Karki,Neurologist,Dharan,MD,4.3,-981686150
Dr. Sarita Poudel,Cardiologist,Pokhara,MDS,4.5,-983329058
Dr. Bishnu Poudel,Orthopedic,Pokhara,PhD (Medical Science),4.1,-983189252
Dr. Maya Thapa,Dentist,Bharatpur,MS,4,-983773343
Dr. Ram Lama,Cardiologist,Kathmandu,MCh,5,-988381707
Dr. Krishna Pokharel,Gynecologist,Birgunj,PhD (Medical Science),3.7,-987471469
Dr. Hari Pokharel,Dermatologist,Butwal,PhD (Medical Science),4,-987398385
Dr. Manoj Poudel,Neurologist,Biratnagar,MS,3.5,-984017623
Dr. Sita Poudel,Psychiatrist,Pokhara,MBBS,3.5,-988943384
Dr. Sita Tamang,Ophthalmologist,Hetauda,DM,4.7,-982624100
Dr. Gita Sharma,Psychiatrist,Nepalgunj,MS,3.5,-985716676
Dr. Shyam Bhandari,Dermatologist,Butwal,DM,4.6,-984401820
Dr. Manoj Thapa,Dentist,Biratnagar,MS,3.5,-989781418
Dr. Shyam Tamang,Neurologist,Biratnagar,DM,5,-981562786
Dr. Krishna Thapa,General Physician,Butwal,MCh,3.8,-985302597
Dr. Shyam Pokharel,Dentist,Lalitpur,MCh,4.2,-981515980
Dr. Sita Bhandari,Gynecologist,Hetauda,PhD (Medical Science),4,-982424352
Dr. Krishna Tamang,Gynecologist,Birgunj,DM,3.4,-982395266
Dr. Sita Karki,Gynecologist,Kathmandu,MBBS,3.9,-989725322
Dr. Sarita Tamang,Psychiatrist,Hetauda,MD,4,-982057944
Dr. Shyam Karki,Ophthalmologist,Biratnagar,MD,3.1,-984815812
Dr. Maya Sharma,Dermatologist,Butwal,MD,3.1,-981292523
Dr. Maya Sharma,Ophthalmologist,Kathmandu,MDS,4.9,-989237083
Dr. Sarita Bhandari,General Physician,Pokhara,MBBS,4,-987571718
Dr. Gita Sharma,Neurologist,Bharatpur,PhD (Medical Science),3.3,-986399284
Dr. Ram Lama,Gynecologist,Bharatpur,MD,4.9,-982332700
Dr. Sita Lama,Pediatrician,Hetauda,MS,3.7,-981949080
Dr. Bishnu Karki,Psychiatrist,Pokhara,MCh,3.6,-986062326
Dr. Ram Tamang,Dentist,Biratnagar,MD,4,-981988367
Dr. Manoj Thapa,Gynecologist,Lalitpur,DM,3.3,-984826661
Dr. Bishnu Lama,Orthopedic,Pokhara,DM,3.2,-986168558
Dr. Manoj Thapa,Orthopedic,Kathmandu,MS,3.2,-982371906
Dr. Hari Poudel,Gynecologist,Dharan,MD,4.6,-982445247
Dr. Hari Karki,Gynecologist,Lalitpur,DM,3.3,-985896601
Dr. Manoj Lama,General Physician,Pokhara,MBBS,4.2,-985783548
Dr. Shyam Pokharel,Psychiatrist,Butwal,MCh,3.9,-985218981
Dr. Gita Lama,Ophthalmologist,Pokhara,DM,4.6,-988567160
Dr. Bishnu Pokharel,Ophthalmologist,Pokhara,MD,4.2,-984593296
Dr. Maya Karki,Orthopedic,Pokhara,MD,4.4,-985777141
Dr. Hari Bhandari,Gynecologist,Hetauda,MS,3,-988891788
Dr. Sarita Karki,Dermatologist,Dharan,MBBS,4.1,-981615773
Dr. Sita Gautam,General Physician,Kathmandu,MCh,4.3,-984971011
Dr. Shyam Poudel,Cardiologist,Hetauda,BDS,3.8,-987482242
Dr. Hari Sharma,Ophthalmologist,Hetauda,MBBS,4.3,-985090664
Dr. Sita Thapa,Neurologist,Dharan,PhD (Medical Science),3.5,-985194412
Dr. Krishna Sharma,Psychiatrist,Biratnagar,MD,3.2,-989020381
Dr. Bishnu Pokharel,Cardiologist,Bharatpur,MCh,4.4,-989873116
Dr. Sarita Lama,Cardiologist,Lalitpur,PhD (Medical Science),4.8,-985499542
Dr. Sita Adhikari,Dermatologist,Hetauda,MBBS,3,-985182313
Dr. Manoj Karki,Neurologist,Pokhara,MS,4.6,-986633130
Dr. Krishna Thapa,Dermatologist,Kathmandu,MS,4.4,-987907818
Dr. Sarita Gautam,Dentist,Hetauda,MBBS,3.3,-981640229
Dr. Shyam Sharma,Pediatrician,Bharatpur,MS,4.9,-989845787
Dr. Gita Tamang,Neurologist,Pokhara,MDS,3.4,-981434583
Dr. Maya Bhandari,Pediatrician,Birgunj,MBBS,3.9,-989650603
Dr. Sita Pokharel,Pediatrician,Butwal,MS,4.4,-987826647
Dr. Sita Karki,Dentist,Birgunj,BDS,4.9,-987176851
Dr. Ram Poudel,Dermatologist,Lalitpur,MS,3.3,-981060269
Dr. Shyam Poudel,Orthopedic,Biratnagar,MBBS,3.5,-982307527
Dr. Sita Thapa,Ophthalmologist,Pokhara,BDS,3.9,-987098796
Dr. Sarita Sharma,Psychiatrist,Nepalgunj,MS,4.4,-985413336
Dr. Ram Lama,Dentist,Bharatpur,PhD (Medical Science),4.3,-987269334
Dr. Gita Karki,Gynecologist,Biratnagar,DM,4,-983122188
Dr. Bishnu Thapa,General Physician,Kathmandu,MD,3.6,-982019024
Dr. Bishnu Lama,Pediatrician,Lalitpur,MDS,4.1,-982267476
Dr. Krishna Thapa,Cardiologist,Butwal,MCh,4.4,-988706064
Dr. Bishnu Lama,Gynecologist,Lalitpur,BDS,3.4,-987129150
Dr. Ram Adhikari,Gynecologist,Dharan,MCh,3.5,-981937037
Dr. Manoj Bhandari,Cardiologist,Bharatpur,MDS,3.3,-982415098
Dr. Hari Poudel,Cardiologist,Hetauda,DM,3.8,-987629536
Dr. Ram Tamang,Dentist,Butwal,MD,3.9,-984190797
Dr. Bishnu Lama,Neurologist,Kathmandu,MCh,3.1,-984915387
Dr. Ram Lama,Dentist,Pokhara,MBBS,3.9,-983642513
Dr. Gita Thapa,Ophthalmologist,Biratnagar,DM,4.9,-981405850
Dr. Hari Thapa,Neurologist,Butwal,MS,3,-986905171
Dr. Sarita Adhikari,Dentist,Bharatpur,MBBS,3.1,-981221347
Dr. Manoj Lama,Dermatologist,Birgunj,MBBS,3.5,-981301932
Dr. Ram Adhikari,Gynecologist,Dharan,MDS,4.3,-983788140
Dr. Gita Bhandari,Gynecologist,Birgunj,MDS,4.6,-983369472
Dr. Gita Karki,Neurologist,Hetauda,BDS,3.1,-989234302
Dr. Gita Pokharel,Neurologist,Butwal,MS,4.6,-987268952
Dr. Ram Tamang,Dermatologist,Butwal,PhD (Medical Science),4.4,-989233564
Dr. Manoj Sharma,Cardiologist,Dharan,MD,3.2,-982534944
Dr. Maya Tamang,Cardiologist,Birgunj,MS,4.7,-982110733
Dr. Gita Pokharel,Orthopedic,Hetauda,MDS,3.9,-989096738
Dr. Sita Lama,Dentist,Hetauda,MBBS,3.1,-985900580
Dr. Manoj Sharma,Dermatologist,Kathmandu,PhD (Medical Science),3.9,-985035707
Dr. Manoj Lama,Pediatrician,Birgunj,MS,4,-983358778
Dr. Bishnu Bhandari,Dermatologist,Kathmandu,MS,4.5,-981576491
Dr. Krishna Thapa,Gynecologist,Pokhara,MBBS,4,-982147076
Dr. Hari Thapa,Ophthalmologist,Birgunj,MD,4.5,-985674232
Dr. Hari Karki,Neurologist,Birgunj,MS,4.5,-981980725
Dr. Hari Sharma,Ophthalmologist,Hetauda,MBBS,4.7,-988846961
Dr. Bishnu Bhandari,Cardiologist,Lalitpur,BDS,4.7,-983338088
Dr. Shyam Thapa,Neurologist,Biratnagar,BDS,4.5,-988915652
Dr. Krishna Pokharel,Dentist,Bharatpur,BDS,4.9,-981611524
Dr. Ram Karki,Dermatologist,Nepalgunj,PhD (Medical Science),4.5,-983378333
Dr. Hari Poudel,Psychiatrist,Nepalgunj,MDS,4.3,-989526634
Dr. Ram Poudel,Dermatologist,Butwal,DM,4.9,-984548843
Dr. Sarita Lama,Pediatrician,Lalitpur,MD,4,-981022975
Dr. Hari Bhandari,Pediatrician,Pokhara,BDS,4.3,-987210717
Dr. Shyam Lama,Cardiologist,Bharatpur,DM,4.5,-987182707
Dr. Sita Pokharel,Dermatologist,Nepalgunj,BDS,3.6,-989282992
Dr. Maya Lama,Pediatrician,Birgunj,MD,4.1,-982692329
Dr. Hari Bhandari,Dentist,Dharan,MBBS,4.2,-982299275
Dr. Shyam Karki,Orthopedic,Kathmandu,PhD (Medical Science),4.3,-984753443
Dr. Gita Sharma,Cardiologist,Pokhara,MCh,3.5,-981822597
Dr. Hari Lama,Pediatrician,Kathmandu,MD,3.5,-983097623
Dr. Hari Lama,Psychiatrist,Hetauda,MS,3.9,-989080025
Dr. Ram Gautam,Dermatologist,Pokhara,BDS,4.5,-981054757
Dr. Shyam Karki,Dentist,Biratnagar,MS,3.1,-982856075
Dr. Manoj Tamang,Orthopedic,Butwal,MD,3.6,-981427898
Dr. Gita Karki,Pediatrician,Bharatpur,MD,3.4,-984083648
Dr. Manoj Bhandari,Ophthalmologist,Kathmandu,MD,3.3,-981451204
Dr. Gita Lama,Gynecologist,Nepalgunj,MS,3.1,-987749707
Dr. Bishnu Thapa,Gynecologist,Kathmandu,PhD (Medical Science),4.4,-988931972
Dr. Krishna Lama,Pediatrician,Kathmandu,MS,3.8,-989846958
Dr. Sita Poudel,Cardiologist,Butwal,MS,3.6,-983990213
Dr. Bishnu Adhikari,Neurologist,Dharan,BDS,3.5,-989101084
Dr. Bishnu Pokharel,Dermatologist,Bharatpur,MD,4.9,-981417281
Dr. Gita Lama,Orthopedic,Hetauda,MS,4.3,-983252871
Dr. Bishnu Sharma,General Physician,Nepalgunj,MD,3.3,-985394587
Dr. Sarita Thapa,Ophthalmologist,Pokhara,BDS,3.5,-987451727
Dr. Bishnu Poudel,Dentist,Dharan,MBBS,4.1,-983113817
Dr. Ram Pokharel,Orthopedic,Kathmandu,MCh,3.2,-983009419
Dr. Sita Lama,Psychiatrist,Lalitpur,MCh,3.1,-985301709
Dr. Bishnu Poudel,Pediatrician,Lalitpur,BDS,3.2,-985504070
Dr. Gita Karki,Cardiologist,Nepalgunj,MD,4.3,-987505579
Dr. Manoj Adhikari,Orthopedic,Bharatpur,MCh,3.7,-989554705
Dr. Sita Karki,Dentist,Bharatpur,MDS,4.7,-981108747
Dr. Sarita Sharma,Neurologist,Bharatpur,PhD (Medical Science),4.7,-985797006
Dr. Hari Thapa,Dermatologist,Nepalgunj,BDS,5,-986615624
Dr. Hari Tamang,Pediatrician,Butwal,MCh,4.5,-988497924
Dr. Sita Sharma,Orthopedic,Nepalgunj,MDS,4.2,-981233576
Dr. Shyam Sharma,Neurologist,Kathmandu,MS,4,-985781649
Dr. Krishna Lama,Psychiatrist,Bharatpur,MD,4.8,-981509520
Dr. Maya Karki,Pediatrician,Kathmandu,MS,3.3,-987282960
Dr. Bishnu Sharma,Psychiatrist,Birgunj,MD,3.4,-989769515
Dr. Sita Lama,Orthopedic,Pokhara,BDS,3.4,-988478539
Dr. Bishnu Bhandari,Cardiologist,Dharan,DM,4.3,-987466865
Dr. Shyam Gautam,Pediatrician,Dharan,BDS,4.7,-986992205
Dr. Sarita Pokharel,Neurologist,Dharan,DM,3.6,-981228579
Dr. Ram Pokharel,Pediatrician,Hetauda,MS,4.3,-983169081
Dr. Gita Pokharel,Pediatrician,Kathmandu,MS,3.9,-989623870
Dr. Bishnu Tamang,Dermatologist,Nepalgunj,MS,5,-982955438
Dr. Hari Bhandari,Gynecologist,Nepalgunj,DM,5,-984804351
Dr. Manoj Sharma,General Physician,Butwal,BDS,4.5,-984978658
Dr. Bishnu Thapa,Dermatologist,Biratnagar,MBBS,3.4,-985685942
Dr. Hari Karki,General Physician,Nepalgunj,MD,3.5,-988480993
Dr. Sarita Lama,Ophthalmologist,Kathmandu,MCh,4.8,-985479401
Dr. Maya Sharma,Orthopedic,Hetauda,MS,3.5,-984397481
Dr. Sita Karki,Neurologist,Dharan,MCh,3.3,-988490347
Dr. Maya Karki,Neurologist,Pokhara,DM,4.3,-984853631
Dr. Krishna Tamang,Psychiatrist,Lalitpur,MCh,3.8,-987686719
Dr. Manoj Adhikari,Neurologist,Kathmandu,MD,4.6,-985415586
Dr. Krishna Gautam,General Physician,Butwal,MCh,3.9,-988816564
Dr. Hari Gautam,Gynecologist,Hetauda,DM,5,-985021863
Dr. Sarita Sharma,Neurologist,Hetauda,MD,5,-985257400
Dr. Manoj Tamang,Ophthalmologist,Lalitpur,MDS,3.7,-987008487
Dr. Ram Adhikari,Psychiatrist,Kathmandu,PhD (Medical Science),4.5,-989316541
Dr. Hari Bhandari,Pediatrician,Pokhara,MBBS,4.6,-985027305
Dr. Maya Adhikari,Pediatrician,Butwal,DM,4.4,-981890389
Dr. Manoj Gautam,General Physician,Nepalgunj,MDS,4.6,-989033642
Dr. Ram Sharma,Ophthalmologist,Kathmandu,MCh,3.5,-981681963
Dr. Hari Adhikari,Pediatrician,Bharatpur,MDS,4.7,-987883552
Dr. Manoj Tamang,Ophthalmologist,Dharan,MDS,3.7,-985115920
Dr. Maya Bhandari,General Physician,Pokhara,BDS,3.5,-989466569
Dr. Manoj Thapa,Cardiologist,Birgunj,MBBS,3.2,-988794815
Dr. Ram Lama,Cardiologist,Kathmandu,MDS,4.3,-988984443
Dr. Manoj Bhandari,Cardiologist,Biratnagar,MBBS,3.1,-987383139
Dr. Ram Sharma,Gynecologist,Birgunj,DM,4.9,-985603293
Dr. Ram Thapa,Neurologist,Bharatpur,MS,4.8,-981786931
Dr. Maya Tamang,General Physician,Hetauda,MD,4.4,-988429199
Dr. Manoj Lama,Dentist,Lalitpur,MD,4.7,-982049348
Dr. Ram Pokharel,Psychiatrist,Kathmandu,DM,5,-989831120
Dr. Hari Thapa,Cardiologist,Dharan,PhD (Medical Science),4.3,-988337514
Dr. Sita Sharma,Dermatologist,Bharatpur,DM,4.5,-988658277
Dr. Manoj Poudel,Gynecologist,Birgunj,PhD (Medical Science),3.3,-986161840
Dr. Bishnu Karki,Neurologist,Pokhara,MCh,4,-986000017
Dr. Maya Pokharel,Neurologist,Nepalgunj,DM,4.7,-983386235
Dr. Hari Pokharel,Dermatologist,Bharatpur,DM,3.1,-985110069
Dr. Sita Gautam,Dermatologist,Birgunj,MBBS,3.2,-981650106
Dr. Sita Lama,Dentist,Hetauda,PhD (Medical Science),4.1,-987344034
Dr. Ram Bhandari,Orthopedic,Bharatpur,MD,3.4,-981544419
Dr. Krishna Tamang,Pediatrician,Pokhara,MS,3.3,-981095908
Dr. Hari Bhandari,Dentist,Dharan,MDS,3.3,-983936073
Dr. Krishna Adhikari,Neurologist,Kathmandu,MBBS,4.6,-982360245
Dr. Gita Pokharel,Orthopedic,Lalitpur,PhD (Medical Science),4.3,-988735405
Dr. Sarita Adhikari,Psychiatrist,Hetauda,MBBS,3.4,-986934772
Dr. Shyam Karki,Dentist,Lalitpur,MBBS,3.9,-985479746
Dr. Hari Gautam,Pediatrician,Biratnagar,MDS,4.1,-981406041
Dr. Sarita Lama,Dentist,Nepalgunj,MCh,3.9,-982069994
Dr. Shyam Sharma,Pediatrician,Kathmandu,BDS,4.1,-984590808
Dr. Manoj Tamang,Pediatrician,Nepalgunj,MBBS,3.8,-981875425
Dr. Bishnu Adhikari,Psychiatrist,Nepalgunj,MD,3.9,-983327471
Dr. Manoj Thapa,Dermatologist,Lalitpur,BDS,4.5,-987885946
Dr. Hari Adhikari,Pediatrician,Biratnagar,MDS,3.6,-981788604
Dr. Sita Sharma,Neurologist,Nepalgunj,MD,3,-988284778
Dr. Manoj Gautam,Cardiologist,Birgunj,DM,4.3,-984951147
Dr. Sarita Bhandari,Dentist,Lalitpur,MD,4,-985084796
